value;cruising_speed;take_off;landing
10;1147.5365838581;4.9101319298;376.75
20;811.4309001057;9.8202638596;376.75
30;662.5305555954;14.7303957894;376.75
40;573.7682919291;19.6405277193;376.75
50;513.1939616349;24.5506596491;376.75
60;468.4798486048;29.4607915789;376.75
70;433.7280601767;34.3709235087;376.75
80;405.7154500529;39.2810554385;376.75
90;382.5121946194;44.1911873683;376.75
100;362.8829303361;49.1013192982;376.75
110;345.9952983512;54.011451228;376.75
120;331.2652777977;58.9215831578;376.75
130;318.2693841209;63.8317150876;376.75
140;306.6920525419;68.7418470174;376.75
150;296.2926718964;73.6519789472;376.75
160;286.8841459645;78.562110877;376.75
170;278.3185026181;83.4722428069;376.75
180;270.4769667019;88.3823747367;376.75
190;263.2629475291;93.2925066665;376.75
200;256.5969808175;98.2026385963;376.75
210;250.4130122981;103.1127705261;376.75
220;244.6556217228;108.0229024559;376.75
230;239.2779183922;112.9330343857;376.75
240;234.2399243024;117.8431663156;376.75
250;229.5073167716;122.7532982454;376.75
260;225.0504397559;127.6634301752;376.75
270;220.8435185318;132.573562105;376.75
280;216.8640300884;137.4836940348;376.75
290;213.0921940101;142.3938259646;376.75
300;209.5105575138;147.3039578945;376.75
310;206.1036547306;152.2140898243;376.75
320;202.8577250264;157.1242217541;376.75
330;199.7604786414;162.0343536839;376.75
340;196.8009005309;166.9444856137;376.75
350;193.9690852609;171.8546175435;376.75
360;191.2560973097;176.7647494733;376.75
370;188.6538522821;181.6748814032;376.75
380;186.155015433;186.585013333;376.75
390;183.752914597;191.4951452628;376.75
400;181.441465168;196.4052771926;376.75
410;179.2151052059;201.3154091224;376.75
420;177.0687390934;206.2255410522;376.75
430;174.9976884427;211.135672982;376.75
440;172.9976491756;216.0458049119;376.75
450;171.0646538783;220.9559368417;376.75
460;169.1950386834;225.8660687715;376.75
470;167.385414048;230.7762007013;376.75
480;165.6326388989;235.6863326311;376.75
490;163.933797694;240.5964645609;376.75
