"value";"cruising_speed";"take_off";"landing"
0;"NaN";81.0171768419;329
10;"NaN";85.9273087718;329
20;"NaN";90.8374407016;329
30;"NaN";95.7475726314;329
40;"NaN";100.6577045612;329
50;"NaN";105.567836491;329
60;"NaN";110.4779684208;329
70;"NaN";115.3881003507;329
80;"NaN";120.2982322805;329
90;"NaN";125.2083642103;329
100;"NaN";130.1184961401;329
110;1622.8618002115;135.0286280699;329
120;936.9596972096;139.9387599997;329
130;725.7658606721;144.8488919295;329
140;613.3841050837;149.7590238594;329
150;540.9539334038;154.6691557892;329
160;489.3112434456;159.579287719;329
170;450.1008795119;164.4894196488;329
180;419.0211150277;169.3995515786;329
190;393.6018010619;174.3096835084;329
200;372.310030866;179.2198154383;329
210;354.1374781867;184.1299473681;329
220;338.3900773667;189.0400792979;329
230;324.5723600423;193.9502112277;329
240;312.3198990699;198.8603431575;329
250;301.3578708049;203.7704750873;329
260;291.4745837747;208.6806070171;329
270;282.5039781209;213.590738947;329
280;274.313711057;218.5008708768;329
290;266.7968364913;223.4110028066;329
300;259.8658639487;228.3211347364;329
310;253.4484323643;233.2312666662;329
320;247.4841043796;238.141398596;329
330;241.9219535574;243.0515305258;329
340;236.7187226901;247.9616624557;329
350;231.8374000302;252.8717943855;329
360;227.2461057966;257.7819263153;329
370;222.9172120878;262.6920582451;329
380;218.8266404999;267.6021901749;329
390;214.9532965425;272.5123221047;329
400;211.2786104419;277.4224540346;329
410;207.7861614614;282.3325859644;329
420;204.4613683612;287.2427178942;329
430;201.2912326642;292.152849824;329
440;198.2641243989;297.0629817538;329
450;195.3696022588;301.9731136836;329
460;192.5982618274;306.8832456134;329
470;189.9416068375;311.7933775433;329
480;187.3919394419;316.7035094731;329
490;184.9422662664;321.6136414029;329
