WING_LOADING;POW_MASS_RATIO
3.00E+02;3.00E+02
3.00E+02;3.00E+02
3.00E+02;3.00E+02
3.00E+02;3.00E+02
3.00E+02;2.99E+02
3.00E+02;2.99E+02
3.00E+02;2.99E+02
3.00E+02;2.99E+02
3.00E+02;2.99E+02
3.00E+02;2.99E+02
3.00E+02;2.98E+02
3.00E+02;2.98E+02
3.00E+02;2.96E+02
3.00E+02;2.96E+02
3.01E+02;2.92E+02
3.01E+02;2.92E+02
3.02E+02;2.83E+02
3.02E+02;2.83E+02
3.05E+02;2.67E+02
3.05E+02;2.67E+02
3.10E+02;2.34E+02
3.10E+02;2.34E+02
3.21E+02;1.69E+02
3.21E+02;1.69E+02
3.41E+02;1.89E+02
3.41E+02;1.89E+02
3.83E+02;2.10E+02
3.83E+02;2.10E+02
3.71E+02;2.04E+02
3.71E+02;2.04E+02
3.75E+02;1.98E+02
3.75E+02;1.98E+02
3.78E+02;1.92E+02
3.78E+02;1.92E+02
3.77E+02;1.80E+02
3.77E+02;1.80E+02
3.76E+02;1.84E+02
3.76E+02;1.84E+02
3.75E+02;1.87E+02
3.75E+02;1.87E+02
3.75E+02;1.91E+02
3.75E+02;1.91E+02
3.75E+02;1.90E+02
3.75E+02;1.90E+02
3.76E+02;1.89E+02
3.76E+02;1.89E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.78E+02;1.85E+02
3.78E+02;1.85E+02
3.78E+02;1.86E+02
3.78E+02;1.86E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.87E+02
3.77E+02;1.88E+02
3.77E+02;1.88E+02
3.77E+02;1.88E+02
3.77E+02;1.88E+02
3.77E+02;1.90E+02
3.77E+02;1.90E+02
3.76E+02;1.92E+02
3.76E+02;1.92E+02
3.76E+02;1.98E+02
3.76E+02;1.98E+02
3.76E+02;2.08E+02
3.76E+02;2.08E+02
3.74E+02;2.29E+02
3.74E+02;2.29E+02
3.72E+02;2.21E+02
3.72E+02;2.21E+02
3.68E+02;2.24E+02
3.68E+02;2.24E+02
3.59E+02;2.27E+02
3.59E+02;2.27E+02
3.41E+02;2.30E+02
3.41E+02;2.30E+02
3.04E+02;2.35E+02
3.04E+02;2.35E+02
3.19E+02;2.47E+02
3.19E+02;2.47E+02
3.33E+02;2.70E+02
3.33E+02;2.70E+02
3.28E+02;2.61E+02
3.28E+02;2.61E+02
3.29E+02;2.52E+02
3.29E+02;2.52E+02
3.29E+02;2.43E+02
3.29E+02;2.43E+02
3.28E+02;2.47E+02
3.28E+02;2.47E+02
3.28E+02;2.45E+02
3.28E+02;2.45E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.43E+02
3.28E+02;2.43E+02
3.28E+02;2.43E+02
3.28E+02;2.43E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.28E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02
3.29E+02;2.44E+02

